date,momentum,value,portfolio
2016-06-10,1.42,-0.88,-0.7750680490103925
2016-06-13,0.35,-0.95,-0.7723703024000139
2016-06-14,0.74,-0.15,0.2794067412725952
2016-06-15,-0.24,-0.13,-0.0258190323402649
2016-06-16,0.44,0.31,0.239704027800701
2016-06-17,-0.69,-0.32,-0.6424676213364285
2016-06-20,-0.24,0.7,0.4552400763026516
2016-06-21,0.34,0.13,0.0749198036949065
2016-06-22,0.04,-0.16,-0.0691908212059384
2016-06-23,-0.9,1.17,0.7660005003410774
2016-06-24,2.2,-3.3,-1.4100135298138678
2016-06-27,2.38,-1.78,-0.6167673284457182
2016-06-28,-0.95,1.6,1.47042163030539
2016-06-29,-0.99,1.63,1.325259417374773
2016-06-30,0.5,1.28,0.9515376331342892
2016-07-01,-0.63,0.38,0.2666632633285734
2016-07-05,1.71,-0.6,0.3908549167109375
2016-07-06,-0.09,0.64,0.2355458130148427
2016-07-07,-0.86,0.18,-0.3512928174814033
2016-07-08,-0.67,1.47,1.7595378671062625
2016-07-11,-0.28,0.42,0.0493196681918589
2016-07-12,-1.36,0.56,-0.4202041910238763
2016-07-13,0.66,-0.06,0.0778778820674264
2016-07-14,-0.6,0.58,0.628635556102553
2016-07-15,-0.06,-0.12,-0.3514093290654728
2016-07-18,-0.55,0.26,0.2883192131297055
2016-07-19,0.4,-0.05,-0.5453388981326361
2016-07-20,-1.05,0.44,0.4366457305769224
2016-07-21,-0.12,-0.47,-0.0895525133181878
2016-07-22,0.09,0.37,0.5729583457218066
2016-07-25,-0.3,-0.08,0.015908910188633
2016-07-26,-0.38,0.0,-0.1427380155329999
2016-07-27,-0.41,0.13,-0.3753392389059291
2016-07-28,0.24,0.27,0.5956962706738569
2016-07-29,0.34,0.04,0.0068969401561982
2016-08-01,-0.08,0.22,-0.0442246377535696
2016-08-02,0.65,-0.91,-0.7346649208208356
2016-08-03,-1.58,0.21,0.6155326122182416
2016-08-04,0.42,0.16,0.3776837442442142
2016-08-05,-1.42,0.8,0.477393417690383
2016-08-08,-0.18,-0.1,-0.4294025076493327
2016-08-09,0.31,0.02,0.8491411060164684
2016-08-10,0.69,-0.06,0.2230096469275958
2016-08-11,-0.49,0.54,1.03785616140348
2016-08-12,-0.13,-0.06,0.2058219834696379
2016-08-15,-0.96,0.41,0.1667653849043749
2016-08-16,-0.26,-0.57,-0.666741980850063
2016-08-17,0.38,0.11,0.0053058208596841
2016-08-18,0.05,0.14,0.1518444336597442
2016-08-19,-0.39,-0.02,-0.4183588387645923
2016-08-22,0.17,0.06,-0.0584675851582317
2016-08-23,-0.51,0.22,0.3150438837323259
2016-08-24,0.04,-0.51,-0.7662674594823358
2016-08-25,0.47,-0.17,0.0539747658082798
2016-08-26,-0.3,-0.24,-0.8138356540081495
2016-08-29,0.09,0.33,0.4521735062820112
2016-08-30,-0.74,-0.33,-0.4542027668437241
2016-08-31,0.07,-0.12,0.0272711275704707
2016-09-01,0.6,0.21,0.5210367603512749
2016-09-02,0.27,0.42,0.7369469875275111
2016-09-06,0.4,0.25,0.3984614697808488
2016-09-07,-0.54,0.0,0.0730655584845016
2016-09-08,-0.31,-0.63,-0.8267432305027691
2016-09-09,-0.47,-2.54,-2.5693921620526297
2016-09-12,0.0,1.54,1.5915812579758906
2016-09-13,-0.35,-1.11,-1.511059133586298
2016-09-14,0.28,0.27,0.0592529410993452
2016-09-15,0.05,1.18,0.5296324748690885
2016-09-16,0.06,-0.25,-0.0802508951288064
2016-09-19,0.06,-0.17,0.1710518628921215
2016-09-20,0.1,0.15,-0.1569706599512368
2016-09-21,0.68,0.9,1.3228414819381538
2016-09-22,-0.28,0.68,0.683722745898847
2016-09-23,-0.23,-0.52,-0.5177613915065965
2016-09-26,0.31,-0.8,-0.253432763396511
2016-09-27,0.18,0.75,1.12613888600334
2016-09-28,-0.25,0.23,-0.2018171405785259
2016-09-29,0.12,-0.8,-1.2033115276527035
2016-09-30,-0.32,0.89,0.3650654331375269
2016-10-03,-0.15,-0.23,-0.0651638594026986
2016-10-04,-0.83,-0.52,-0.4889890951124749
2016-10-05,-0.62,0.32,0.2145949436019076
2016-10-06,0.25,-0.03,0.3565620221805948
2016-10-07,0.13,-0.56,-0.9584228482554784
2016-10-10,-0.1,0.37,0.7162103972399833
2016-10-11,-0.13,-1.09,-1.3044230133666843
2016-10-12,0.49,0.22,-0.0520816381203596
