Date,Country,Inflation
2006-01-01,USA,3.22594410070407
2007-01-01,USA,2.85267248150136
2008-01-01,USA,3.83910029665101
2009-01-01,USA,-0.35554626629975
2010-01-01,USA,1.64004344238989
2011-01-01,USA,3.15684156862206
2012-01-01,USA,2.06933726526059
2013-01-01,USA,1.46483265562714
2014-01-01,USA,1.62222297740821
2015-01-01,USA,0.118627135552435
2016-01-01,USA,1.26158320570537
2017-01-01,USA,2.13011000365963
2018-01-01,USA,2.44258329692818
2019-01-01,USA,1.81221007526015
2020-01-01,USA,1.23358439630637
2021-01-01,USA,4.69785886363739
2022-01-01,USA,8.00279982052117
